,country,year,status,life_expectancy,alcohol,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,_thinness_1_19_years
98,Armenia,2013,Developing,74.4,3.79,95.0,10.0,53.3,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1
101,Armenia,2010,Developing,73.5,4.23,94.0,2.0,51.2,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0
104,Armenia,2007,Developing,73.5,3.99,85.0,1.0,49.7,9.0,4.31,88.0,0.1,3138.8873,293356.0,2.0
105,Armenia,2006,Developing,72.9,4.01,78.0,137.0,49.2,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0
106,Armenia,2005,Developing,73.0,4.25,91.0,2281.0,48.8,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0
107,Armenia,2004,Developing,73.0,3.81,91.0,1783.0,48.4,93.0,5.5,91.0,0.1,1191.96192,3612.0,2.0
108,Armenia,2003,Developing,72.7,3.03,93.0,4.0,48.1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0
109,Armenia,2002,Developing,72.6,2.86,91.0,40.0,47.8,96.0,5.4,94.0,0.1,783.261699,333897.0,2.1
110,Armenia,2001,Developing,72.6,2.86,69.0,69.0,47.4,97.0,5.94,94.0,0.1,694.435119,35655.0,2.1
111,Armenia,2000,Developing,72.0,2.9,55.0,15.0,47.1,96.0,6.25,93.0,0.1,622.7427477,369588.0,2.1
113,Australia,2014,Developed,82.7,9.71,91.0,340.0,66.1,92.0,9.42,92.0,0.1,62214.6912,2346694.0,0.6
114,Australia,2013,Developed,82.5,9.87,91.0,158.0,65.5,91.0,9.36,91.0,0.1,67792.3386,23117353.0,0.6
115,Australia,2012,Developed,82.3,10.03,91.0,199.0,65.0,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6
116,Australia,2011,Developed,82.0,10.3,92.0,190.0,64.4,92.0,9.2,92.0,0.1,62245.129,223424.0,0.6
117,Australia,2010,Developed,81.9,10.52,92.0,70.0,63.9,92.0,9.2,92.0,0.1,51874.848,223175.0,0.7
118,Australia,2009,Developed,81.7,10.62,94.0,104.0,63.4,92.0,9.5,92.0,0.1,42742.99898,216917.0,0.7
119,Australia,2008,Developed,81.3,10.76,94.0,65.0,62.9,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7
120,Australia,2007,Developed,81.3,10.56,94.0,11.0,62.5,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7
122,Australia,2005,Developed,81.0,10.3,95.0,10.0,61.5,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7
123,Australia,2004,Developed,86.0,9.84,95.0,70.0,6.9,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7
124,Australia,2003,Developed,83.0,9.97,95.0,91.0,6.3,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7
125,Australia,2002,Developed,79.9,9.84,95.0,32.0,59.6,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7
126,Australia,2001,Developed,79.9,9.53,94.0,141.0,59.0,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7
129,Austria,2014,Developed,81.4,12.32,98.0,117.0,57.1,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8
131,Austria,2012,Developed,88.0,12.26,92.0,36.0,56.1,92.0,11.17,92.0,0.1,48333.57273,8429991.0,1.8
132,Austria,2011,Developed,88.0,12.04,89.0,68.0,55.7,89.0,1.94,89.0,0.1,51126.74139,8391643.0,1.7
133,Austria,2010,Developed,84.0,12.1,86.0,52.0,55.2,86.0,11.17,86.0,0.1,46657.629,836344.0,1.7
134,Austria,2009,Developed,82.0,11.3,83.0,49.0,54.7,83.0,11.19,83.0,0.1,47654.18721,8343323.0,1.7
135,Austria,2008,Developed,84.0,12.0,83.0,448.0,54.2,83.0,1.6,83.0,0.1,51386.37665,8321496.0,1.7
136,Austria,2007,Developed,81.0,12.5,85.0,20.0,53.7,85.0,1.4,85.0,0.1,46586.6525,8295487.0,1.7
137,Austria,2006,Developed,79.8,12.4,83.0,23.0,53.2,83.0,1.35,83.0,0.1,443.99361,8268641.0,1.7
138,Austria,2005,Developed,79.4,12.4,86.0,9.0,52.7,86.0,1.53,86.0,0.1,38242.4252,8227829.0,1.7
139,Austria,2004,Developed,79.3,12.1,83.0,15.0,52.2,83.0,1.56,83.0,0.1,36693.4262,8171966.0,1.7
140,Austria,2003,Developed,78.8,12.2,83.0,90.0,51.7,84.0,1.48,84.0,0.1,3212.9355,8121423.0,1.7
193,Bangladesh,2014,Developing,71.4,0.01,97.0,289.0,17.7,97.0,2.82,97.0,0.1,184.56543,15945279.0,18.1
194,Bangladesh,2013,Developing,71.0,0.01,96.0,237.0,17.0,96.0,2.88,96.0,0.1,951.8894535,157571292.0,18.3
195,Bangladesh,2012,Developing,77.0,0.01,94.0,1986.0,16.4,94.0,3.8,94.0,0.1,856.342857,15572753.0,18.5
196,Bangladesh,2011,Developing,73.0,0.01,96.0,5625.0,15.8,96.0,3.16,96.0,0.1,835.789341,153911916.0,18.7
197,Bangladesh,2010,Developing,69.9,0.01,94.0,788.0,15.2,94.0,3.6,94.0,0.1,757.6717572,15214912.0,18.9
198,Bangladesh,2009,Developing,69.5,0.01,97.0,718.0,14.6,97.0,2.91,97.0,0.1,681.125368,1545478.0,19.1
199,Bangladesh,2008,Developing,69.1,0.01,96.0,2660.0,14.0,96.0,2.85,96.0,0.1,615.7775411,14885814.0,19.3
200,Bangladesh,2007,Developing,68.6,0.01,95.0,2924.0,13.5,96.0,2.8,94.0,0.1,541.651484,147139191.0,19.5
201,Bangladesh,2006,Developing,68.2,0.01,86.0,6192.0,13.0,95.0,2.8,94.0,0.1,494.51466,1453684.0,19.7
202,Bangladesh,2005,Developing,67.8,0.01,45.0,25934.0,12.5,94.0,2.68,93.0,0.1,484.155471,14343111.0,19.9
203,Bangladesh,2004,Developing,67.3,0.01,11.0,9743.0,12.0,88.0,2.62,99.0,0.1,46.7579167,14137489.0,2.1
204,Bangladesh,2003,Developing,66.8,0.01,5.0,4067.0,11.6,9.0,2.51,87.0,0.1,432.7388972,139191.0,2.3
225,Belarus,2014,Developing,72.0,13.94,97.0,64.0,61.7,97.0,5.69,97.0,0.1,8318.429294,9474511.0,1.9
226,Belarus,2013,Developing,71.7,14.66,98.0,16.0,61.1,98.0,6.7,98.0,0.1,7978.825443,9465997.0,2.0
227,Belarus,2012,Developing,71.9,16.35,97.0,10.0,6.5,98.0,5.1,98.0,0.1,694.243915,9464495.0,2.0
228,Belarus,2011,Developing,72.0,17.31,98.0,50.0,59.9,98.0,4.92,98.0,0.1,6519.71753,9473172.0,2.0
229,Belarus,2010,Developing,73.0,14.44,96.0,1.0,59.3,99.0,5.55,98.0,0.1,63.38877,949583.0,2.0
232,Belarus,2007,Developing,69.8,14.22,91.0,1.0,57.7,9.0,6.44,95.0,0.1,4735.484827,956953.0,2.2
233,Belarus,2006,Developing,68.9,12.6,98.0,149.0,57.2,97.0,6.34,99.0,0.1,3848.215966,964924.0,2.2
234,Belarus,2005,Developing,68.1,11.01,99.0,1.0,56.7,98.0,6.89,99.0,0.1,3126.71767,9663915.0,2.3
235,Belarus,2004,Developing,68.2,12.05,99.0,2.0,56.2,99.0,6.59,99.0,0.1,2378.33927,973146.0,2.4
236,Belarus,2003,Developing,67.7,11.17,56.0,21.0,55.8,53.0,6.59,5.0,0.1,1819.525644,9796749.0,2.5
237,Belarus,2002,Developing,67.2,12.23,99.0,14.0,55.3,99.0,6.47,99.0,0.1,1479.383142,9865548.0,2.5
238,Belarus,2001,Developing,67.7,10.74,93.0,45.0,54.9,99.0,6.62,99.0,0.1,1244.373185,9928549.0,2.6
239,Belarus,2000,Developing,68.0,12.98,7.0,21.0,54.4,99.0,6.13,99.0,0.1,1276.28834,997961.0,2.7
241,Belgium,2014,Developed,89.0,12.6,98.0,70.0,63.4,99.0,1.59,99.0,0.1,47439.39684,112957.0,1.0
242,Belgium,2013,Developed,87.0,11.77,98.0,39.0,63.0,99.0,1.57,99.0,0.1,4651.38647,11182817.0,1.0
243,Belgium,2012,Developed,83.0,10.08,98.0,109.0,62.6,99.0,1.54,99.0,0.1,4474.5717,11128246.0,0.9
244,Belgium,2011,Developed,83.0,10.11,97.0,576.0,62.3,98.0,1.42,98.0,0.1,4772.77415,1147744.0,0.9
245,Belgium,2010,Developed,80.0,10.22,97.0,40.0,61.9,98.0,1.17,98.0,0.1,4438.23741,1895586.0,0.9
246,Belgium,2009,Developed,79.8,10.05,97.0,33.0,61.6,98.0,1.39,98.0,0.1,4488.5615,1796493.0,0.9
247,Belgium,2008,Developed,79.5,10.47,98.0,98.0,61.3,99.0,9.6,99.0,0.1,48424.58927,179973.0,0.8
248,Belgium,2007,Developed,79.5,10.25,94.0,64.0,6.9,99.0,9.25,98.0,0.1,4443.83131,16257.0,0.8
249,Belgium,2006,Developed,79.4,10.98,94.0,15.0,6.6,99.0,9.17,98.0,0.1,38852.3613,1547958.0,0.8
250,Belgium,2005,Developed,78.9,12.27,77.0,26.0,6.2,97.0,9.24,97.0,0.1,36967.28292,1478617.0,0.8
251,Belgium,2004,Developed,78.8,12.05,64.0,61.0,59.8,96.0,9.32,95.0,0.1,35589.71295,1421137.0,0.8
252,Belgium,2003,Developed,78.3,11.28,64.0,44.0,59.4,96.0,9.3,95.0,0.1,3743.95693,1376133.0,0.8
254,Belgium,2001,Developed,78.0,11.01,6.0,83.0,58.5,96.0,8.29,95.0,0.1,23121.56635,128657.0,0.8
273,Benin,2014,Developing,59.7,0.01,78.0,786.0,25.2,74.0,4.59,78.0,1.1,943.686575,1286712.0,7.1
274,Benin,2013,Developing,59.5,0.01,77.0,637.0,24.6,73.0,4.59,77.0,1.2,915.2674586,14451.0,7.2
275,Benin,2012,Developing,59.3,0.01,8.0,288.0,24.1,8.0,4.86,8.0,1.3,837.9551,972916.0,7.4
276,Benin,2011,Developing,59.1,1.4,75.0,426.0,23.5,77.0,5.37,75.0,1.4,825.9427854,94682.0,7.6
277,Benin,2010,Developing,58.7,1.33,76.0,392.0,23.0,77.0,4.95,76.0,1.4,757.695974,9199259.0,7.8
278,Benin,2009,Developing,58.4,1.16,79.0,1461.0,22.5,8.0,4.46,79.0,1.6,793.45243,894476.0,7.9
279,Benin,2008,Developing,57.6,1.28,75.0,928.0,22.0,77.0,4.2,75.0,1.8,82.1513498,8696916.0,8.1
280,Benin,2007,Developing,57.1,1.12,82.0,341.0,21.5,82.0,4.55,82.0,2.0,76.535419,8454791.0,8.3
281,Benin,2006,Developing,56.8,1.19,74.0,176.0,21.0,76.0,4.75,74.0,2.0,625.8392,8216896.0,8.5
282,Benin,2005,Developing,56.5,1.13,7.0,210.0,2.5,73.0,4.73,7.0,2.1,61.799977,7982225.0,8.7
283,Benin,2004,Developing,56.1,1.15,75.0,262.0,2.1,74.0,4.56,72.0,2.1,583.493514,7754.0,8.9
284,Benin,2003,Developing,55.8,1.35,73.0,217.0,19.7,75.0,4.63,73.0,2.1,519.2922847,752555.0,9.1
285,Benin,2002,Developing,55.6,1.23,15.0,1588.0,19.2,76.0,4.27,75.0,2.1,418.6985763,7295394.0,9.3
337,Botswana,2014,Developing,65.1,0.01,95.0,1.0,37.3,96.0,5.41,95.0,2.3,7497.762376,2168573.0,6.7
338,Botswana,2013,Developing,64.2,0.01,95.0,1.0,36.8,96.0,5.84,95.0,2.8,77.625783,212857.0,7.0
339,Botswana,2012,Developing,63.4,0.01,95.0,7.0,36.2,96.0,6.27,95.0,4.4,729.231453,289315.0,7.3
340,Botswana,2011,Developing,62.2,5.76,95.0,8.0,35.7,96.0,5.25,95.0,5.5,7645.21469,251339.0,7.7
341,Botswana,2010,Developing,61.1,5.99,95.0,853.0,35.2,96.0,5.64,95.0,6.2,6346.15624,214866.0,8.0
342,Botswana,2009,Developing,59.2,5.01,94.0,184.0,34.7,96.0,6.39,96.0,9.0,5185.729845,1979882.0,8.4
344,Botswana,2007,Developing,56.9,6.21,93.0,1.0,33.7,96.0,4.71,96.0,13.4,5714.47937,1914414.0,9.2
345,Botswana,2006,Developing,54.8,6.45,93.0,6.0,33.2,96.0,4.93,96.0,14.4,5374.554867,1884238.0,9.6
346,Botswana,2005,Developing,51.7,6.37,92.0,5.0,32.7,96.0,5.62,96.0,20.6,5351.253732,1855852.0,1.0
347,Botswana,2004,Developing,48.1,4.9,91.0,1.0,32.2,96.0,5.56,96.0,28.4,4896.583835,182933.0,1.5
348,Botswana,2003,Developing,46.4,5.51,9.0,59.0,31.6,96.0,4.65,96.0,31.9,4163.6596,184339.0,1.9
349,Botswana,2002,Developing,46.0,6.41,88.0,7.0,31.1,97.0,6.47,97.0,34.6,355.618382,1779953.0,11.4
350,Botswana,2001,Developing,46.7,5.48,87.0,1.0,3.5,97.0,5.73,97.0,37.2,3128.97793,1754935.0,11.8
351,Botswana,2000,Developing,47.8,5.37,86.0,2672.0,29.9,97.0,4.64,97.0,38.8,3349.68823,172834.0,12.3
353,Brazil,2014,Developing,74.8,7.32,96.0,876.0,55.3,96.0,8.32,93.0,0.1,1226.61731,24213133.0,2.7
354,Brazil,2013,Developing,74.7,7.24,96.0,220.0,54.5,96.0,8.48,97.0,0.1,12216.9446,2248632.0,2.8
355,Brazil,2012,Developing,74.5,7.55,96.0,2.0,53.6,96.0,8.26,95.0,0.1,12291.46685,256983.0,2.8
356,Brazil,2011,Developing,74.1,7.58,98.0,43.0,52.8,98.0,8.9,99.0,0.1,13167.47289,198686688.0,2.9
357,Brazil,2010,Developing,73.8,7.52,96.0,68.0,52.0,99.0,8.27,99.0,0.1,11224.1548,196796269.0,2.9
361,Brazil,2006,Developing,73.0,7.1,99.0,57.0,48.6,99.0,8.36,99.0,0.1,586.145975,18912412.0,3.1
362,Brazil,2005,Developing,72.7,6.97,98.0,6.0,47.8,99.0,8.27,99.0,0.1,477.182746,186917361.0,3.2
364,Brazil,2003,Developing,71.8,6.95,97.0,2.0,46.1,99.0,6.94,99.0,0.1,359.587582,182482149.0,3.3
365,Brazil,2002,Developing,71.4,7.0,92.0,1.0,45.3,99.0,7.13,99.0,0.1,2819.649531,1815121.0,3.3
366,Brazil,2001,Developing,71.0,7.13,91.0,1.0,44.5,99.0,7.19,98.0,0.1,3146.95177,1777567.0,3.4
367,Brazil,2000,Developing,75.0,7.26,94.0,36.0,43.7,99.0,7.3,98.0,0.1,3739.11936,175287587.0,3.4
386,Bulgaria,2013,Developed,74.1,12.06,95.0,14.0,64.5,95.0,7.93,95.0,0.1,7674.86559,7265115.0,1.9
387,Bulgaria,2012,Developed,73.9,10.99,95.0,1.0,63.9,95.0,7.11,95.0,0.1,7378.25539,735888.0,1.9
388,Bulgaria,2011,Developed,73.7,10.67,96.0,157.0,63.3,95.0,6.88,95.0,0.1,7813.83499,7348328.0,2.0
389,Bulgaria,2010,Developed,73.4,10.8,95.0,22004.0,62.7,94.0,7.24,94.0,0.1,6843.263289,7395599.0,2.0
390,Bulgaria,2009,Developed,73.2,10.93,96.0,2249.0,62.1,94.0,6.78,94.0,0.1,6955.987733,7444443.0,2.0
391,Bulgaria,2008,Developed,72.9,10.98,96.0,1.0,61.5,96.0,6.61,95.0,0.1,7296.122479,7492561.0,2.1
392,Bulgaria,2007,Developed,72.6,10.89,95.0,1.0,6.9,95.0,6.41,95.0,0.1,5932.899677,7545338.0,2.1
393,Bulgaria,2006,Developed,72.2,10.39,96.0,1.0,6.3,96.0,6.67,95.0,0.1,4513.13628,76122.0,2.2
394,Bulgaria,2005,Developed,72.1,10.48,96.0,3.0,59.7,97.0,7.8,96.0,0.1,3893.68998,7658972.0,2.2
398,Bulgaria,2001,Developed,71.6,10.72,93.0,8.0,57.5,94.0,7.23,94.0,0.1,1764.97387,89142.0,2.4
399,Bulgaria,2000,Developed,71.1,9.69,94.0,46.0,57.0,94.0,6.7,93.0,0.1,169.28586,817172.0,2.5
481,Cameroon,2014,Developing,56.7,0.01,87.0,831.0,28.4,86.0,4.1,87.0,3.7,1441.1417,2223994.0,5.7
482,Cameroon,2013,Developing,56.4,0.01,89.0,760.0,27.8,88.0,4.29,89.0,4.0,1365.34419,21655715.0,5.8
483,Cameroon,2012,Developing,55.9,0.01,85.0,609.0,27.2,85.0,4.34,85.0,4.6,1255.648189,2182383.0,5.9
484,Cameroon,2011,Developing,55.6,6.19,82.0,504.0,26.6,8.0,3.96,82.0,4.9,1295.649726,252447.0,6.0
485,Cameroon,2010,Developing,55.3,6.15,84.0,240.0,26.0,83.0,5.28,84.0,5.5,1182.869227,1997495.0,6.1
486,Cameroon,2009,Developing,54.8,5.89,8.0,251.0,25.4,79.0,5.7,8.0,6.3,123.19538,19432541.0,6.3
487,Cameroon,2008,Developing,54.2,5.9,84.0,495.0,24.9,82.0,5.18,84.0,6.7,1233.524316,18978.0,6.4
488,Cameroon,2007,Developing,53.6,5.44,82.0,100.0,24.4,81.0,4.76,82.0,7.0,111.71186,18395389.0,6.6
489,Cameroon,2006,Developing,53.3,5.22,81.0,196.0,23.8,78.0,4.69,81.0,7.2,12.989164,17899562.0,6.7
490,Cameroon,2005,Developing,52.8,5.03,79.0,605.0,23.3,79.0,4.75,8.0,7.4,952.1872484,1742795.0,6.9
497,Canada,2014,Developing,82.0,8.1,55.0,418.0,66.4,91.0,1.45,91.0,0.1,544.43376,35544564.0,0.5
498,Canada,2013,Developing,81.8,8.2,55.0,83.0,65.8,91.0,1.67,91.0,0.1,52413.72116,35155451.0,0.5
499,Canada,2012,Developing,81.6,8.3,7.0,10.0,65.3,99.0,1.78,95.0,0.1,52496.69487,3475545.0,0.5
500,Canada,2011,Developing,81.5,8.2,7.0,803.0,64.7,87.0,1.82,87.0,0.1,5282.2176,3434278.0,0.5
501,Canada,2010,Developing,81.2,8.4,56.0,99.0,64.1,88.0,11.2,89.0,0.1,47447.4762,345274.0,0.5
502,Canada,2009,Developing,81.0,8.4,42.0,14.0,63.6,89.0,11.17,91.0,0.1,4773.45436,33628571.0,0.5
503,Canada,2008,Developing,87.0,8.3,28.0,62.0,63.0,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5
504,Canada,2007,Developing,85.0,8.3,14.0,101.0,62.5,9.0,9.83,94.0,0.1,44544.5268,32887928.0,0.5
505,Canada,2006,Developing,85.0,8.2,14.0,13.0,61.9,95.0,9.75,95.0,0.1,4386.69948,325755.0,0.5
506,Canada,2005,Developing,81.0,8.0,14.0,6.0,61.3,93.0,9.57,93.0,0.1,36189.58838,32312.0,0.5
507,Canada,2004,Developing,80.0,7.8,14.0,7.0,6.6,91.0,9.56,91.0,0.1,31979.87195,31995.0,0.5
508,Canada,2003,Developing,79.7,7.7,14.0,15.0,6.0,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5
561,China,2014,Developing,75.8,5.78,99.0,52628.0,31.9,99.0,5.55,99.0,0.1,7683.5238,136427.0,3.7
562,China,2013,Developing,75.6,5.79,99.0,26883.0,3.9,99.0,5.39,99.0,0.1,777.77594,135738.0,3.8
563,China,2012,Developing,75.4,5.74,99.0,6183.0,3.0,99.0,5.26,99.0,0.1,6337.882993,135695.0,3.9
564,China,2011,Developing,75.2,5.63,99.0,9943.0,29.0,99.0,5.3,99.0,0.1,5633.79616,134413.0,4.1
565,China,2010,Developing,75.0,5.75,99.0,38159.0,28.1,99.0,4.89,99.0,0.1,456.512487,133775.0,4.2
566,China,2009,Developing,74.9,4.88,99.0,52461.0,27.3,99.0,5.8,99.0,0.1,3838.434292,133126.0,4.4
567,China,2008,Developing,74.5,4.27,95.0,131441.0,26.5,99.0,4.59,97.0,0.1,3471.247547,1324655.0,4.5
568,China,2007,Developing,74.4,3.88,92.0,109023.0,25.7,94.0,4.32,93.0,0.1,2695.366223,1317885.0,4.7
569,China,2006,Developing,74.2,3.28,91.0,99602.0,24.9,94.0,4.52,93.0,0.1,299.229676,13112.0,4.8
570,China,2005,Developing,73.9,2.92,84.0,124219.0,24.1,87.0,4.66,87.0,0.1,1753.4178,13372.0,5.0
571,China,2004,Developing,73.5,3.04,79.0,70549.0,23.4,87.0,4.72,87.0,0.1,158.668462,129675.0,5.1
572,China,2003,Developing,73.1,2.96,75.0,71879.0,22.6,87.0,4.82,86.0,0.1,1288.642924,12884.0,5.3
573,China,2002,Developing,72.7,2.91,7.0,58341.0,21.9,86.0,4.79,86.0,0.1,1148.5857,1284.0,5.5
574,China,2001,Developing,72.2,2.84,65.0,88962.0,21.2,86.0,4.56,86.0,0.1,153.1824,127185.0,5.7
575,China,2000,Developing,71.7,3.06,6.0,71093.0,2.5,86.0,4.6,85.0,0.1,959.372181,1262645.0,5.9
931,France,2014,Developing,82.2,11.5,83.0,267.0,62.0,98.0,11.54,98.0,0.1,42955.24287,66331957.0,0.6
932,France,2013,Developing,82.0,11.1,74.0,272.0,61.6,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6
934,France,2011,Developing,81.7,11.8,74.0,14949.0,6.6,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6
935,France,2010,Developing,81.3,11.7,65.0,5048.0,6.1,99.0,11.2,99.0,0.1,473.34279,6527512.0,0.6
936,France,2009,Developing,81.1,11.8,51.0,1541.0,59.6,98.0,11.28,98.0,0.1,41631.13141,647744.0,0.6
937,France,2008,Developing,89.0,11.9,47.0,604.0,59.1,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6
938,France,2007,Developing,89.0,12.2,42.0,39.0,58.6,99.0,1.45,98.0,0.1,416.58397,6416229.0,0.6
939,France,2006,Developing,86.0,12.4,39.0,40.0,58.0,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6
940,France,2005,Developing,81.0,12.2,35.0,36.0,57.5,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6
941,France,2004,Developing,82.0,13.18,35.0,4448.0,57.0,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6
943,France,2002,Developing,79.2,13.78,29.0,5185.0,55.8,97.0,1.22,97.0,0.1,24275.2426,6185267.0,0.7
945,France,2000,Developing,78.8,13.63,26.0,10000.0,54.6,98.0,9.77,97.0,0.1,22465.64184,6912498.0,0.7
979,Georgia,2014,Developing,74.5,6.13,91.0,3188.0,55.3,91.0,7.42,91.0,0.1,4429.6575,3727.0,2.7
980,Georgia,2013,Developing,74.5,5.91,96.0,7872.0,54.4,94.0,7.25,93.0,0.1,4274.376857,3776.0,2.7
981,Georgia,2012,Developing,74.2,7.71,92.0,31.0,53.6,93.0,8.57,92.0,0.1,4142.869175,3825.0,2.6
982,Georgia,2011,Developing,73.9,8.14,89.0,64.0,52.8,88.0,9.38,94.0,0.1,3725.63221,3875.0,2.6
983,Georgia,2010,Developing,73.8,7.24,95.0,22.0,52.0,88.0,1.5,92.0,0.1,2964.47734,3926.0,2.6
984,Georgia,2009,Developing,73.2,6.66,54.0,23.0,51.3,93.0,1.19,88.0,0.1,276.588512,3978.0,2.6
985,Georgia,2008,Developing,73.9,7.17,89.0,56.0,5.5,9.0,8.99,92.0,0.1,3174.9491,43.0,2.6
986,Georgia,2007,Developing,74.4,8.65,94.0,44.0,49.9,88.0,8.17,98.0,0.1,2492.12878,482.0,2.7
987,Georgia,2006,Developing,73.9,6.18,84.0,334.0,49.2,89.0,8.39,88.0,0.1,1872.68416,4136.0,2.7
988,Georgia,2005,Developing,73.9,4.7,79.0,1356.0,48.6,82.0,8.6,82.0,0.1,153.57521,419.0,2.8
989,Georgia,2004,Developing,72.3,3.74,64.0,6847.0,48.1,66.0,8.53,78.0,0.1,127.367228,4245.0,2.8
990,Georgia,2003,Developing,72.7,3.36,48.0,216.0,47.5,74.0,8.49,75.0,0.1,928.18227,431.0,2.9
991,Georgia,2002,Developing,71.7,2.72,51.0,199.0,47.0,89.0,8.72,84.0,0.1,779.3845935,4357.0,2.9
992,Georgia,2001,Developing,73.0,2.76,61.0,35.0,46.5,83.0,7.82,87.0,0.1,733.974142,43864.0,3.0
